created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 27 00:42:32 +0000 2023;1717703292027818385;"@BajerGarisLucu @kikysaputrii Baca yang bener dia itu pihak yang netral gada hubungannya ama kaesang..kaesang juga jago roasting kok.. Kiki juga pernah roasting prabowo ama anies mereka.santai.aja gak baper kayak junjunganmu";0;0;0;0;in;1307944705594802177;1717520190873993279;Dutajomblo3;https://twitter.com/Dutajomblo3/status/1717703292027818385
Fri Oct 27 00:42:30 +0000 2023;1717703282489991300;"@leohrf11 @psi_id Harusnya sebelum mendukung prabowo, PSI membersihkan dulu timelinenya. Hehe";0;0;0;0;in;233839910;1717576392819527951;andilancok;https://twitter.com/andilancok/status/1717703282489991300
Fri Oct 27 00:42:10 +0000 2023;1717703196326400468;"@DeniIkhwan4 @sandalista1789 @psi_id @prabowo Coba liat min @Gerindra ,,bapakmu masa diginiin?";0;0;0;0;in;2424184760;1717537932150796577;AlfaroKaylani;https://twitter.com/AlfaroKaylani/status/1717703196326400468
Fri Oct 27 00:42:06 +0000 2023;1717703182111928498;"Siap Menangkan Prabowo-Gibran, Projo Aceh Berharap Dukungan Implementasi MoU Helsinki https://t.co/PprwRgCDry";0;0;0;0;in;1225432911899324419;1717703182111928498;RepelitaO;https://twitter.com/RepelitaO/status/1717703182111928498
Fri Oct 27 00:42:03 +0000 2023;1717703169998828011;"@feroferraferri @cagubnyinyir2 @prabowo @PDI_Perjuangan Haduh tekananya, lu pilih istri, kalau itu yakin terbaik, peduli kata orang. Itu sja";0;0;0;0;in;1023955650307452928;1717613519297028325;wahyonoisnaeni1;https://twitter.com/wahyonoisnaeni1/status/1717703169998828011
Fri Oct 27 00:42:03 +0000 2023;1717703169180885198;"@PartaiSocmed Cocok Menko Kemaritiman...👍🏼";0;0;0;0;in;1556517761991704576;1717700633149710431;WastuPrabowo;https://twitter.com/WastuPrabowo/status/1717703169180885198
Fri Oct 27 00:42:01 +0000 2023;1717703159265604075;"@TretanMuslim @prabowo @gibran_tweet Sattt😂";0;0;0;0;und;1197174246033612800;1717419587208388997;jenengkuaqil;https://twitter.com/jenengkuaqil/status/1717703159265604075
Fri Oct 27 00:42:00 +0000 2023;1717703155020861739;"@PartaiSocmed Kayanya bu susi dukung Putra Mahkota, karna ada Prabowo disana @susipudjiastuti";0;0;0;0;in;1537839396430675969;1717700633149710431;fikribaroya_;https://twitter.com/fikribaroya_/status/1717703155020861739
Fri Oct 27 00:41:56 +0000 2023;1717703141007765791;"@RajaJuliAntoni @psi_id @Gerindra @prabowo @gibran_tweet Pagi juga .... Mkmkmkmkmkmk... https://t.co/04YbJs9LxT";0;0;0;0;et;1597808766610591746;1717688258556215682;EdiJuna7679;https://twitter.com/EdiJuna7679/status/1717703141007765791
Fri Oct 27 00:41:55 +0000 2023;1717703134720438417;"@alextham878 @yunartowijaya Tenang saja pak prabowo...saya sdh disini...tenang saja pak...pamanku ketua MK Bapakku masih presiden kita akan dimenangkan..";0;0;0;0;in;1654002568975253505;1717392446676746456;Brahma323241536;https://twitter.com/Brahma323241536/status/1717703134720438417
Fri Oct 27 00:41:52 +0000 2023;1717703124696137875;"Ini kah calon presiden yg kita mau ? Alasan Prabowo banyak aset yg mandeg maka kepingin berkuasa,tujuannya utk pribadi https://t.co/sSA5LXY1Z2";0;0;0;0;in;1485686832306454529;1717703124696137875;JalilBasyah;https://twitter.com/JalilBasyah/status/1717703124696137875
Fri Oct 27 00:41:42 +0000 2023;1717703082098999393;"@mihrabku @tgh998 @andi_achilles @44Oktiva @prabowo Tak rokaroan 🤣🤣🤣🤣🤣";0;0;0;0;eu;1701560829202849792;1717477809223041528;KancilKa70021;https://twitter.com/KancilKa70021/status/1717703082098999393
Fri Oct 27 00:41:42 +0000 2023;1717703081335693810;"@yunartowijaya Bismillahirrahmanirrahim Subhanallah Alhamdulillah La ilaha illallah Allahuakbar  Presiden 2024 antara Ganjar-Mahfud atau Anies-Muhaimin yg Menang 🏆.  Asalkan jangan Prabowo-Gibran yg menang... Nanti  seperti zaman orba soeharto👎  Merdeka... Merdeka... Merdeka.. 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🤟";0;0;0;0;in;4700464572;1717546224600109163;18Movic;https://twitter.com/18Movic/status/1717703081335693810
Fri Oct 27 00:41:41 +0000 2023;1717703074855166108;"@idamanlekk prabowo 💪";0;0;0;0;pl;1567970499829047296;1717614994643382622;ehgabolehh;https://twitter.com/ehgabolehh/status/1717703074855166108
Fri Oct 27 00:41:25 +0000 2023;1717703008098652417;"@narkosun Narko pekok! Itu program Jokowi yg akan dilanjutkan Prabowo-Gibran dgn biar makin bermanfaat bagi rakyat. Program berkelanjutan dan bermanfaat bagi rakyat memang sudah seharusnya dilanjutkan. Program Genjer opo?! Di Jateng saja masih banyak program kerja yg terpending 🥴";0;0;0;0;in;1656286848627650561;1717455105849737423;MbahSulurKra;https://twitter.com/MbahSulurKra/status/1717703008098652417
Fri Oct 27 00:41:16 +0000 2023;1717702970895388698;"I hate to say this but Anies does have a good design sense that reflects on his vision mission documents. Ganjar layout is good too and have some clean design, overall ok laa, even though I kinda dislike the cover, it’s like a science books. Oh Prabowo please you can do better…";0;0;0;0;en;1086849797976293376;1717702970895388698;franksugimoto;https://twitter.com/franksugimoto/status/1717702970895388698
Fri Oct 27 00:41:12 +0000 2023;1717702956621971506;"@CNNIndonesia Prabowo Gibran Usung Visi Misi Bapaknya, begitu tepatnya.";0;0;0;0;in;1041706057230245888;1717479491679977486;umarngelo;https://twitter.com/umarngelo/status/1717702956621971506
Fri Oct 27 00:41:10 +0000 2023;1717702945805115661;"@Gojokaisen86 @kompascom @KompasTV Tidak usah gentar buat mas gibran, saya percaya kok mas gibran sangat sanggup untuk bisa menjadi cawapres dalam mendampingi pak prabowo subianto";0;0;0;0;in;780718575271055360;1717493661469122696;hddfsysgdcoghu;https://twitter.com/hddfsysgdcoghu/status/1717702945805115661
Fri Oct 27 00:40:36 +0000 2023;1717702805283041769;"@BosPurwa @ArsjadRasjid @mohmahfudmd @prabowo Mslh nya capres/cawapres itu kalo mundur dari jabatan menteri, mereka ga PD masih diliput media, pdhal lg butuh banget exposure";0;0;0;0;in;836097915625975808;1717445378495390158;broihan1172;https://twitter.com/broihan1172/status/1717702805283041769
Fri Oct 27 00:40:31 +0000 2023;1717702784596824182;"@hc_poirot @prabowo @Gerindra ayookk di tunggu pengakuan korup dan kegagalan ide mu, jangan bohong, kalau masih bohong ntar kena azab dunia ente rasakan wo";0;0;0;0;in;1386526302748831744;1717610194057011644;Benny58537080;https://twitter.com/Benny58537080/status/1717702784596824182
Fri Oct 27 00:40:26 +0000 2023;1717702762627019076;"@MissRevolusi Prabowo emosi karena dia yang maksa bawa JKW ke DKI. Di saat ibu suri ragu2 dan tidak mau.  Begitu sukses, JKW dianggap melupakan jasa beliau.  Malah maju jadi lawan.   Ya emosi.  Mirip yang digaungkan pendukung Ganjar saat ini tentang JKW.  Ya emosi.";0;0;0;0;in;42142634;1716619964617204134;HakimGarisLurus;https://twitter.com/HakimGarisLurus/status/1717702762627019076
Fri Oct 27 00:40:22 +0000 2023;1717702746613145813;"@KompasTV Pokoknya pak prabowo tenang aja skrg udah Ada aku di sini cuman bilang begitu.. Survive nya udah tertinggi entah survive nya  lewat mana .. Ga bahaya taa";0;0;0;0;in;1639931218203484162;1717694521608433955;Salmanbest41489;https://twitter.com/Salmanbest41489/status/1717702746613145813
