,ip src,ip dst,pktcount,bytecount,dur,pktrate,label
0,10.10.1.197,10.10.1.198,129,37787,54.077355,2.385471700677668129293675698,Serangan DDoS
1,10.10.1.198,10.10.1.197,106,250417,54.077355,1.960155040866921098489376931,Serangan DDoS
2,10.10.1.198,10.10.1.5,2,182,54.077355,0.03698405737484756789602597982,Tidak ada serangan DDoS
3,10.10.1.198,142.250.4.95,6,746,54.077355,0.1109521721245427036880779395,Tidak ada serangan DDoS
4,10.10.1.198,142.251.10.95,9591,466482953,54.077355,177.3570471410815118453925862,Serangan DDoS
5,10.10.1.198,157.230.30.107,8,448,54.077355,0.1479362294993902715841039193,Tidak ada serangan DDoS
6,10.10.1.198,18.155.68.17,7,790,54.077355,0.1294442008119664876360909294,Tidak ada serangan DDoS
7,10.10.1.198,185.246.220.83,7,392,54.077355,0.1294442008119664876360909294,Tidak ada serangan DDoS
8,10.10.1.198,202.29.233.166,7,392,54.077355,0.1294442008119664876360909294,Tidak ada serangan DDoS
9,10.10.1.198,202.79.184.254,450,32977,54.077355,8.321412909340702776605845460,Serangan DDoS
10,10.10.1.198,45.170.130.82,3,172,54.077355,0.05547608606227135184403896973,Tidak ada serangan DDoS
11,10.10.1.198,45.88.67.192,8,448,54.077355,0.1479362294993902715841039193,Tidak ada serangan DDoS
12,10.10.1.198,61.177.173.24,8,456,54.077355,0.1479362294993902715841039193,Tidak ada serangan DDoS
13,10.10.1.198,64.112.72.210,43,2408,54.077355,0.7951572335592227097645585662,Tidak ada serangan DDoS
14,10.10.1.198,64.112.72.94,13,728,54.077355,0.2403963729365091913241688688,Tidak ada serangan DDoS
15,10.10.1.198,91.189.94.4,1,92,54.077355,0.01849202868742378394801298991,Tidak ada serangan DDoS
16,10.10.1.5,10.10.1.198,2,422,54.077355,0.03698405737484756789602597982,Tidak ada serangan DDoS
17,127.0.0.1,127.0.0.1,43,65156,54.077355,0.7951572335592227097645585662,Tidak ada serangan DDoS
18,127.0.0.1,127.0.0.53,2,182,54.077355,0.03698405737484756789602597982,Tidak ada serangan DDoS
19,127.0.0.53,127.0.0.1,2,422,54.077355,0.03698405737484756789602597982,Tidak ada serangan DDoS
20,142.250.4.95,10.10.1.198,5,5020,54.077355,0.09246014343711891974006494955,Tidak ada serangan DDoS
21,142.251.10.95,10.10.1.198,235986,22647214,54.077355,4363.859881830389078755793437,Serangan DDoS
22,157.230.30.107,10.10.1.198,8,496,54.077355,0.1479362294993902715841039193,Tidak ada serangan DDoS
23,18.155.68.17,10.10.1.198,6,1042,54.077355,0.1109521721245427036880779395,Tidak ada serangan DDoS
24,185.246.220.83,10.10.1.198,7,434,54.077355,0.1294442008119664876360909294,Tidak ada serangan DDoS
25,202.29.233.166,10.10.1.198,7,434,54.077355,0.1294442008119664876360909294,Tidak ada serangan DDoS
26,202.79.184.254,10.10.1.198,950,6474818,54.077355,17.56742725305259475061234041,Serangan DDoS
27,45.170.130.82,10.10.1.198,4,248,54.077355,0.07396811474969513579205195964,Tidak ada serangan DDoS
28,45.88.67.192,10.10.1.198,8,496,54.077355,0.1479362294993902715841039193,Tidak ada serangan DDoS
29,61.177.173.24,10.10.1.198,10,674,54.077355,0.1849202868742378394801298991,Tidak ada serangan DDoS
30,64.112.72.210,10.10.1.198,43,2666,54.077355,0.7951572335592227097645585662,Tidak ada serangan DDoS
31,64.112.72.94,10.10.1.198,12,744,54.077355,0.2219043442490854073761558789,Tidak ada serangan DDoS
32,91.189.94.4,10.10.1.198,1,92,54.077355,0.01849202868742378394801298991,Tidak ada serangan DDoS
