created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 20 06:28:57 +0000 2023;1715253751986950613;"@prem_thakker THIS IS DESPICABLE   THESE PEOPLE ARE EVIL INCARNATE   WICKED SOULS   PURE FREAKING EVIL   I PRAY THAT YOU RECEIVE THIS TREATMENT X100   YOU LACK HUMANITY  OH MY GOD THIS IS FREAKING INSANE   YOU SHALL REAP WHAT YOU SOWED  FREE GAZA 🇵🇸   FREE PALESTINE 🇵🇸   #ISTANDWITHPALESTINE";0;0;0;0;en;704507178736971776;1715087825316573616;KaseyJoel_;https://twitter.com/KaseyJoel_/status/1715253751986950613
Fri Oct 20 06:28:56 +0000 2023;1715253750338916448;"@hesy_rock if he mentioned Palestine , he would be fired from the Star Sports commentary panel.";0;0;0;0;en;1496836362305421312;1715252748592074888;Mohamma21731314;https://twitter.com/Mohamma21731314/status/1715253750338916448
Fri Oct 20 06:28:55 +0000 2023;1715253746333278343;"@Benny_With_a_B @ezxalidosman @Lucas_Gage_ If you knew anything about the history, you would have known the Hebron massacre was way AFTER Zionism started spreading into Palestine (and btw, both sides committed massacres, but only the Hebron massacre is utilized by Israeli propagandists)";0;0;0;0;en;549934241;1715243642544099785;Ahmad14010;https://twitter.com/Ahmad14010/status/1715253746333278343
Fri Oct 20 06:28:55 +0000 2023;1715253744944791582;"@elonmusk Free Palestine Elon 🇵🇸";0;0;0;0;et;342360059;1715249746753794305;Nasrisobh;https://twitter.com/Nasrisobh/status/1715253744944791582
Fri Oct 20 06:28:55 +0000 2023;1715253744747561378;"If you are a Christian START supporting Palestine.";0;0;0;0;en;1522689586400571393;1715253744747561378;Adamsonof11;https://twitter.com/Adamsonof11/status/1715253744747561378
Fri Oct 20 06:28:54 +0000 2023;1715253741883113529;"Such merciful doctors of Palestine..these people are really patient";0;0;0;0;en;1005528554233139200;1715253741883113529;muffinsandhope;https://twitter.com/muffinsandhope/status/1715253741883113529
Fri Oct 20 06:28:53 +0000 2023;1715253737214640194;"@POTUS I don’t want my child to be killed with your weapon, I m German and I stand with Palestine 🇵🇸 to be free of the occupation that was imposed for 75 years and financed by you https://t.co/s3zZR7krjl";0;0;0;0;en;1167329100391944192;1715156640503128462;amirasahbi1;https://twitter.com/amirasahbi1/status/1715253737214640194
Fri Oct 20 06:28:53 +0000 2023;1715253735688151338;"Kenyataannya AS, EURO ñ Inggris pro Israel.vs.Sovyet, China, Korut dukung palestine...klu PD, Asia, Africa, Sov...";0;0;0;0;in;1437985229789020163;1715253735688151338;spendpri;https://twitter.com/spendpri/status/1715253735688151338
Fri Oct 20 06:28:53 +0000 2023;1715253735319040130;"We will etch the name 'Palestine🇵🇸'  in our hearts, educate our generations to never forgive or forget.   #LetsUniteForAlAqsa #IsraelAttack #GazaHospital #فلسطين_الان #جازان_الان #PalestinianGenocide #Gaza https://t.co/yZdIzcHxnU";0;0;0;0;en;1234162313562902529;1715253735319040130;KashmirJournal_;https://twitter.com/KashmirJournal_/status/1715253735319040130
Fri Oct 20 06:28:51 +0000 2023;1715253728150741098;"https://t.co/yYgIe92oXe every weekend there are nazi rally’s in Florida. These are the real anti semites. Being anti Israel isn’t being anti semetic. Being pro Palestine is not being pro hamas. I’m sure there is overlap, positive there is. But they are not the same.";0;0;0;0;en;195611658;1715252810508288191;ThatManMoran;https://twitter.com/ThatManMoran/status/1715253728150741098
